香港,#genre#
凤凰中文,http://anxin-play.yunchuanglive.com/live/UsQUt731Ht448sbQcyxPrY2CHgGp7g.flv
凤凰资讯,http://anxin-play.yunchuanglive.com/live/Wl6vBApDZqrkm7Z3iCKavIDGySCzLx.flv
凤凰香港,https://anxin-play.yunchuanglive.com/live/phNhgTxxM6WqEnPzDXjnzEDCT2UmHu.flv
翡翠台,https://anxin-play.yunchuanglive.com/live/Cqhz8R0uWRM10GzkljMoqScYgWTFBd.flv
翡翠台,https://anxin-play.yunchuanglive.com/live/2IlGzk9O4o6d7LMn07jAue51FMX2j5.flv
翡翠台,https://anxin-play.yunchuanglive.com/live/kxoahdIarR0gFZ02AKAxXckdQIn4eS.flv
無綫新聞台,https://anxin-play.yunchuanglive.com/live/oDH4ZJcmwQglttqBFPN5EqmODJM81n.flv
TVB Plus,https://anxin-play.yunchuanglive.com/live/lVkyi5ilt6aDg1GB4WfykS5787FC1G.flv
亞洲劇台,https://anxin-play.yunchuanglive.com/live/RoKwIiIfDZl8qoPZpI8HDtFosepgvh.flv
娛樂新聞台,https://anxin-play.yunchuanglive.com/live/9u5dtI0xDheNAgJDpUU5TaUMoccYcd.flv
戲曲台,https://anxin-play.yunchuanglive.com/live/zftn64EoOMZwHUL9drsvnHwFwYjHZY.flv
TVB少儿,https://anxin-play.yunchuanglive.com/live/BxuefjOLkyJb9ysFnkvhv9tGxNrbOG.flv
美亞電影台,https://anxin-play.yunchuanglive.com/live/elsjpdy84MKq1WsaXiBFo81jrr6iIq.flv
Thrill,https://anxin-play.yunchuanglive.com/live/ltt0p0J6sXi1coFP2rfSCG20JvkF9q.flv
天映經典頻道,https://anxin-play.yunchuanglive.com/live/xNsC20X8R5U2WtyRudR23a3kJGVQgj.flv
PopC,https://anxin-play.yunchuanglive.com/live/0Bqm1vBkmwQ9imsg7VrrGaMlP2LmUZ.flv
myTV TVB FREE,https://anxin-play.yunchuanglive.com/live/tcG3ySSglkVs76ZMN7rv67zXJgEGQc.flv
myTV TVB 18台,https://anxin-play.yunchuanglive.com/live/GlEwjo9gEQYU984NNe1jTfHrup3OFx.flv
TVB EYT,https://anxin-play.yunchuanglive.com/live/e7LIhl37dIrtCtDAbNZuK7y7Q4Ii2i.flv
TVB識食,https://anxin-play.yunchuanglive.com/live/P4cpGabVrot9uvnsD9Na6aAFHg7wqx.flv
TVB識嘆,https://anxin-play.yunchuanglive.com/live/VlJruFU07RcvqjmtYnUaXvEMq3cHB7.flv
TVB Music,https://anxin-play.yunchuanglive.com/live/zN6jQu3eyUWggTfliDiAjY0vbOBY8a.flv
TVB煲劇,https://anxin-play.yunchuanglive.com/live/MnKV2a3J0ORp21rDPlXYsADDZumEeK.flv
TVB劇場,https://anxin-play.yunchuanglive.com/live/fEuvH4af1VQ3dS8zolpNg8vcfDczwM.flv
TVB話當年,https://anxin-play.yunchuanglive.com/live/z2EWp6mfTSxCsmHPW8PNOstuinEEZ2.flv
TVB Sports,https://anxin-play.yunchuanglive.com/live/aZYEIXHuWi8SwG6pXvOJcdwPKUkDrM.flv
东森新闻,https://anxin-play.yunchuanglive.com/live/5QXz0PI5UIk6yxwwEGBv8ipETvoJCk.flv
中旺电视,https://anxin-play.yunchuanglive.com/live/wHig2cU2otd6gJpdnfiTthQgw2pBhO.flv
东森美洲,https://anxin-play.yunchuanglive.com/live/jNff4tRDjteKWprMFMjoSYNKtFcckR.flv
东森超视,https://anxin-play.yunchuanglive.com/live/7rweAc7By6tgHuUCaSiwdfMfNiCjKg.flv
TVBS亞洲,https://anxin-play.yunchuanglive.com/live/9CO8eYBxlIhdd3NODYTr0TTnwRSY2H.flv
凤凰中文,https://lssrtmp.kuaiduizuoye.com/live/HHXhha1Q1IGT5OtjqZ69SozZ57QoRC.flv
凤凰资讯,https://lssrtmp.kuaiduizuoye.com/live/hlYXOzJuyRMV1cUuURRgcHrXKhVWkZ.flv
凤凰香港,https://lssrtmp.kuaiduizuoye.com/live/C5GbObSQPHNXAwgMh5qHDewMCVNQDu.flv
TVB翡翠,https://lssrtmp.kuaiduizuoye.com/live/Xq6sHyYiHC5mxthhyIeDkIs7vAvcme.flv
TVB无线新闻,
TVB_Plus,
TVB娱乐新闻,https://lssrtmp.kuaiduizuoye.com/live/BjsfWax7v2mISbzT2DGzBCtd6YRzA6.flv
香港国际卫视,
香港面包台,https://lssrtmp.kuaiduizuoye.com/live/YJZtOt40apaE9Ry6Mvvxm7wfphyNQP.flv
viu剧集,https://lssrtmp.kuaiduizuoye.com/live/xKhqAyOM3x2GrHjvIICvuO9QcNw3ze.flv
ViuTV,https://lssrtmp.kuaiduizuoye.com/live/W9mc6vO1cLylbgAuZO4UdBTAh6fPNp.flv
ViuTV6,https://lssrtmp.kuaiduizuoye.com/live/Gdsl2RZubrZwUrdCOfz6WdbVuXTBxn.flv
HOY76,
hoy78,
RTHK32,
Now新闻,
Now财经,
Now爆谷,https://lssrtmp.kuaiduizuoye.com/live/FM6mjVPxBgUTxahudiyz1BRxdsvzbQ.flv
Now星影,https://lssrtmp.kuaiduizuoye.com/live/l21IwEzAl42YzL6m7K2p7SOrYry98d.flv
Now星影,https://lssrtmp.kuaiduizuoye.com/live/4QAaPFPIgSKm2v55eNPGFNsyw1j1tb.flv
Now爆谷,
Now华剧,
NowPlus,
NowNBA,
Now体育,
Now紫金,
Now英超,https://lssrtmp.kuaiduizuoye.com/live/3GmEEkX3YKVL9TqST2nEA03uiwSm6C.flv
NowSports1,https://lssrtmp.kuaiduizuoye.com/live/JfavP4bokh20Bm3CQGO3k8MJihEU0X.flv
NowSports2,https://lssrtmp.kuaiduizuoye.com/live/n9U2EOoDxJFuaCjPOzxb4HBNBH12bz.flv
NowSports3,
NowSports4,
NowSports5,https://lssrtmp.kuaiduizuoye.com/live/2aeC6GzrGFXp1pB0203riWsi0w0fxz.flv
NowSports6,https://lssrtmp.kuaiduizuoye.com/live/8tQ4ZvDe4Y4YMOCAXWCpZ0Gy9PHQs1.flv
NowSports7,
TVB明珠剧集,
TVBE,https://lssrtmp.kuaiduizuoye.com/live/l0WHKyv7sWLOktQTCxsKJYvkrwbQjX.flv
TVB星河,
TVB星河,
TVB武侠,https://lssrtmp.kuaiduizuoye.com/live/di29GIOV6LqRBk3zjf6FiPHMfBG30A.flv
TVB武侠,
天映经典2,https://lssrtmp.kuaiduizuoye.com/live/SCXJ0zYshcbNcfFYGetQ9a4y2mAv4A.flv
天映频道,https://lssrtmp.kuaiduizuoye.com/live/VHhZFtW9aq2KKpZFzWJi2IA2HAqkZX.flv
天映频道2,
有线18赛马,
重温经典,https://lssrtmp.kuaiduizuoye.com/live/0AfmmOs8x4CzSPX6uB3K9a7K4poGAy.flv
澳门Macau,
ECHO北美生活,https://lssrtmp.kuaiduizuoye.com/live/UVtxGmXn4eO6AhaZMMbsxDFFDVbBdZ.flv
澳门体育,
澳门综艺,https://lssrtmp.kuaiduizuoye.com/live/SqNlhnCwtJaI1kfMOuIXtsqN8ToaKF.flv
澳门莲花,https://lssrtmp.kuaiduizuoye.com/live/5wdXxlc4fI6fCxYYDklFXLcsV8WU8W.flv
凤凰卫视美洲,
新媒体C+,
巴士的AITV,https://lssrtmp.kuaiduizuoye.com/live/R7L71THCkMg3fGcRO8pfL25pdN72r7.flv
台湾,#genre#
台视新闻,
中天新闻,http://getlive.cmts.citicbank.com/live/pANxqKE4uKDYZxLlVVUfbHVOGZMOKR.flv
三立iNEWS,http://getlive.cmts.citicbank.com/live/auyMNYwWTufGAZPDCOco54bLHtVhA6.flv
中视新闻,http://getlive.cmts.citicbank.com/live/ztCNU9vE3YQ3kawJxMcNNVzk3XPIhY.flv
台视新闻,http://getlive.cmts.citicbank.com/live/49lE78i6dRVfTjQkc7UQFh9zxoBNCN.flv
民视新闻,http://getlive.cmts.citicbank.com/live/WwBPhPT3Yrq6HUtHj7SQqnTaEK3BBe.flv
华视新闻,http://getlive.cmts.citicbank.com/live/qPBBZ9ssnDLtdJyoLGrN0bDfqw5OXh.flv
东森新闻,http://getlive.cmts.citicbank.com/live/K1fG9MMi7kuMNkIuBXN1NMq3Ec9R0i.flv
寰宇新闻,http://getlive.cmts.citicbank.com/live/LmMXv0RdpgWlYzxJ1hTMlM5E8Abqqt.flv
寰宇新闻台湾,http://getlive.cmts.citicbank.com/live/Xuojz9GFZg9PQewRLkTeuGRGCOxpWy.flv
摬新闻,http://getlive.cmts.citicbank.com/live/0gev6ggOMnA1XU3QMqIsWKEJgFFjFJ.flv
年代新闻,http://getlive.cmts.citicbank.com/live/KpahPUXwlKRRpf7EWJKqwwmAOLhSsT.flv
壹新闻,http://getlive.cmts.citicbank.com/live/sUAkHy2k8nPCw8swHIj8zmGM5cAHNU.flv
三立新闻,http://getlive.cmts.citicbank.com/live/t8UT9r3bAp1LfoNi16HCt7pW6Dj3Eb.flv
中视,http://getlive.cmts.citicbank.com/live/fBIVigWX4tizZmbToRFkCca4i8ApGf.flv
华视,http://getlive.cmts.citicbank.com/live/OHHtr6cAyFd5zgKFHUQp4lY9IWd45w.flv
公视,http://getlive.cmts.citicbank.com/live/MpgLyqA7y49qlZztCV6wapEHD0HouW.flv
台视,http://getlive.cmts.citicbank.com/live/FVB0alegrqIfZzOEEXdMzRxVk4DXto.flv
TVBS HD,http://getlive.cmts.citicbank.com/live/ZG2R68TKugGXkKkAV5TgQMoGUro8Zv.flv
TVBS HD备,http://getlive.cmts.citicbank.com/live/7IOdSR6MPKVz1OMvulps32rR4yLCFg.flv
TVBS欢乐,http://getlive.cmts.citicbank.com/live/9k0EZQvj2Ynk54Vx21xCjGMBjqPMNi.flv
TVBS综艺,http://getlive.cmts.citicbank.com/live/pVcnA8hdAXzUmHiW2HT76YXAuTc2li.flv
八大第一,http://getlive.cmts.citicbank.com/live/s1DBpl8ZHsPqrUnYP6EX18YC2Ap6Ut.flv
八大综合,http://getlive.cmts.citicbank.com/live/k9vEx9RQKYhSKluviTXIrMBecOOcvb.flv
八大戏剧,http://getlive.cmts.citicbank.com/live/cTlKfktiFEBxQbRsstTrWp9gQpm0lJ.flv
八大娱乐,http://getlive.cmts.citicbank.com/live/qyb1F38TybGTGfqZj9XcNCgd8qFKPz.flv
八大精采,http://getlive.cmts.citicbank.com/live/eUMjFfCjJhazZ0QoyOvdibRp64phiN.flv
民视台湾,http://getlive.cmts.citicbank.com/live/xvJKQLWb9rsImbpliSTjz2FWhazDvo.flv
民事第一,http://getlive.cmts.citicbank.com/live/fIj56OpXa1uLjuPlhnegdahCtwxhDM.flv
民视旅遊,http://getlive.cmts.citicbank.com/live/iu0dVtc6kk0vWcTkIKBGh1yWUpesTC.flv
中天综合,http://getlive.cmts.citicbank.com/live/exSUJH2vv6l50gL2nIT2oHTlTDQdmp.flv
中天娱乐,http://getlive.cmts.citicbank.com/live/60WVqTsR2XZQr2dWu8fofN9IfRxC7y.flv
亚太电视,http://getlive.cmts.citicbank.com/live/xh9LQ0vAiVByCGrNdg76vaVCg4mRPk.flv
EVE戏剧,http://getlive.cmts.citicbank.com/live/q05nSGD1gB27DluldtdMWRG8F0grfi.flv
EVE旅游,http://getlive.cmts.citicbank.com/live/tc8yaT8MgylD2whQi402YDPdyi4DkR.flv
台视综合,http://getlive.cmts.citicbank.com/live/RvGFZAJ6qJOkdxL57EZul43ikrZDth.flv
美亚电影,http://getlive.cmts.citicbank.com/live/9rZyoUPAFvqgzt5t3Mx90radCmXbUe.flv
好莱乌电影,http://getlive.cmts.citicbank.com/live/Yb8PiyONS9sL5ZiVYLdGbldrWfMcQR.flv
龙祥时代,http://getlive.cmts.citicbank.com/live/2Z3BbuY2vUDM8ZKhsd8lvlsYEkRmRa.flv
动物星球,http://getlive.cmts.citicbank.com/live/tajhNo6TgftBFMq1P1AxwQQPc59GVB.flv
BBC_Earth,http://getlive.cmts.citicbank.com/live/Of0XeMRaie7F0RYRnXTIXpsARhbip8.flv
曼迪日本,http://getlive.cmts.citicbank.com/live/PefeaCHAEiCc0h8OweaJ6GpjUljENT.flv
JET综合,http://getlive.cmts.citicbank.com/live/iy0TPvLFNXbOMuYKZeLsChrtj2Il0Y.flv
TVBS_NEWS,http://getlive.cmts.citicbank.com/live/jQEmqy4HJUOEkyBwXWcMNHzbdmViVu.flv
Animaxa動漫,http://getlive.cmts.citicbank.com/live/4mqZgcPWDRrMLmbq4NolZ6tkwrC0T6.flv
CN卡通,http://getlive.cmts.citicbank.com/live/J3XJWcA0wl5BycDE9TubgHz8jMMumg.flv
公视新闻,http://getlive.cmts.citicbank.com/live/hpetURHQcYcOZjtODDStoVovacS9KU.flv
TVB翡翠,http://getlive.cmts.citicbank.com/live/JcVbsxUmInYERtVdnp9x9T4Yte2H56.flv
TVB無綫新聞,http://getlive.cmts.citicbank.com/live/MbQmBBTQr9932I3LrlpaGxfYqxmoK4.flv
TVB Plus,http://getlive.cmts.citicbank.com/live/cSMCgrxF6nfzEEVjloimb4Zlphsvis.flv
爱尔达生活旅游,https://cchls.aniu.tv/live/OHhKa7WhZakZ8ZfgEQiExZ9kgTMZgd.flv
爱尔达影剧,https://cchls.aniu.tv/live/S5PfFOOfXiqs0dlsbqzMjvR7bYTGFv.flv
爱尔达宠物运动,https://cchls.aniu.tv/live/ee4aZlSA3IGTwgbGAchd3YS2CZVjX3.flv
爱尔达日韩,
爱尔达综合,https://cchls.aniu.tv/live/lmlsAg7eTWJiTPtT8epCrKWaQbqmVt.flv
爱尔达体育1,https://cchls.aniu.tv/live/mVZFQbCD1mDyqADqFOKzbY21H6kjPq.flv
爱尔达体育2,https://cchls.aniu.tv/live/3L4j5cHkFH3MMrGilhLN0MobaYZzmm.flv
爱尔达体育3,https://cchls.aniu.tv/live/uSAUz1OKb25j3TtYNFPwEuEcOh5TCH.flv
爱尔达体育4,https://cchls.aniu.tv/live/jKA0CuGDZAgPSIwoycYIyykf2Nj02I.flv
龙华卡通,https://cchls.aniu.tv/live/VrOq0icrAKqqAMJIgKNc3C0XbUduuF.flv
龙华戏剧,https://cchls.aniu.tv/live/rnh3OASyEwQChqbS8BbZgzqMsBptIo.flv
龙华经典,https://cchls.aniu.tv/live/1u0MntxngiDf1f1CG8WHhB54lytPGI.flv
龙华日韩,https://cchls.aniu.tv/live/WdxwVwBN0TZu4rSzLZwimR5AWxXY7X.flv
龙华偶像,https://cchls.aniu.tv/live/WDByEP2dPqYhvRyKA6p4LjgDKbaO6A.flv
