 央卫咪咕,#genre#
 CCTV-01咪咕,http://go.bkpcp.top/mg/cctv1 
 CCTV-02咪咕,http://go.bkpcp.top/mg/cctv2
 CCTV-03咪咕,http://go.bkpcp.top/mg/cctv3 
 CCTV-04咪咕,http://go.bkpcp.top/mg/cctv4 
 CCTV-05咪咕,http://go.bkpcp.top/mg/cctv5
 CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p 
 CCTV-06咪咕,http://go.bkpcp.top/mg/cctv6 
 CCTV-07咪咕,http://go.bkpcp.top/mg/cctv7 
 CCTV-08咪咕,http://go.bkpcp.top/mg/cctv8
 CCTV-09咪咕,http://go.bkpcp.top/mg/cctv9 
 CCTV-10咪咕,http://go.bkpcp.top/mg/cctv10 
 CCTV-11咪咕,http://go.bkpcp.top/mg/cctv11 
 CCTV-12咪咕,http://go.bkpcp.top/mg/cctv12
 CCTV-13咪咕,http://go.bkpcp.top/mg/cctv13 
 CCTV-14咪咕,http://go.bkpcp.top/mg/cctv14
 CCTV-15咪咕,http://go.bkpcp.top/mg/cctv15 
 CCTV-16咪咕,http://go.bkpcp.top/mg/cctv16 
 CCTV-17咪咕,http://go.bkpcp.top/mg/cctv17 
 cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o 
 cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m 
 CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne 
 CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna 
 CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf 
 北京卫视咪咕,http://go.bkpcp.top/mg/bjws 
 东方卫视咪咕,http://go.bkpcp.top/mg/dfws 
 浙江卫视咪咕,http://go.bkpcp.top/mg/zjws 
 江苏卫视咪咕,http://go.bkpcp.top/mg/jsws 
 湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
 广东卫视咪咕,http://go.bkpcp.top/mg/gdws 
 深圳卫视咪4k,http://go.bkpcp.top/mg/szws 
 山东卫视咪咕,http://go.bkpcp.top/mg/sdws 
 河南卫视咪咕,http://go.bkpcp.top/mg/hnws 
 江西卫视咪咕,http://go.bkpcp.top/mg/jxws 
 湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
 海南卫视咪咕,http://go.bkpcp.top/mg/hinws 
 陕西卫视咪咕,http://go.bkpcp.top/mg/sxws 
 兵团卫视咪咕,http://go.bkpcp.top/mg/btws 
 黑龙江视咪咕,http://go.bkpcp.top/mg/hljws 
 CCTV-01咪咕,http://j.s.bkpcp.top/jj/cctv1 
 CCTV-02咪咕,http://j.s.bkpcp.top/jj/cctv2 
 CCTV-03咪咕,http://j.s.bkpcp.top/jj/cctv3 
 CCTV-04咪咕,http://j.s.bkpcp.top/jj/cctv4 
 CCTV-05咪咕,http://j.s.bkpcp.top/jj/cctv5 
 CCTV-5+咪咕,http://j.s.bkpcp.top/jj/cctv5p 
 CCTV-06咪咕,http://j.s.bkpcp.top/jj/cctv6 
 CCTV-07咪咕,http://j.s.bkpcp.top/jj/cctv7 
 CCTV-08咪咕,http://j.s.bkpcp.top/jj/cctv8 
 CCTV-09咪咕,http://j.s.bkpcp.top/jj/cctv9 
 CCTV-10咪咕,http://j.s.bkpcp.top/jj/cctv10 
 CCTV-11咪咕,http://j.s.bkpcp.top/jj/cctv11
 CCTV-12咪咕,http://j.s.bkpcp.top/jj/cctv12 
 CCTV-13咪咕,http://j.s.bkpcp.top/jj/cctv13 
 CCTV-14咪咕,http://j.s.bkpcp.top/jj/cctv14 
 CCTV-15咪咕,http://j.s.bkpcp.top/jj/cctv15 
 CCTV-16咪咕,http://j.s.bkpcp.top/jj/cctv16 
 CCTV-17咪咕,http://j.s.bkpcp.top/jj/cctv17
 cct4欧洲咪咕,http://j.s.bkpcp.top/jj/cctv4o 
 cct4美洲咪咕,http://j.s.bkpcp.top/jj/cctv4m 
 CGTN-西咪咕,http://j.s.bkpcp.top/jj/cgtne 
 CGTN-阿咪咕,http://j.s.bkpcp.top/jj/cgtna 
 CGTN-法咪咕,http://j.s.bkpcp.top/jj/cgtnf 
 北京卫视咪咕,http://j.s.bkpcp.top/jj/bjws 
 东方卫视咪咕,http://j.s.bkpcp.top/jj/dfws 
 浙江卫视咪咕,http://j.s.bkpcp.top/jj/zjws 
 江苏卫视咪咕,http://j.s.bkpcp.top/jj/jsws 
 湖南卫视咪咕,http://j.s.bkpcp.top/jj/hunws 
 广东卫视咪咕,http://j.s.bkpcp.top/jj/gdws 
 深圳卫视咪4k,http://j.s.bkpcp.top/jj/szws 
 山东卫视咪咕,http://j.s.bkpcp.top/jj/sdws 
 河南卫视咪咕,http://j.s.bkpcp.top/jj/hnws 
 江西卫视咪咕,http://j.s.bkpcp.top/jj/jxws 
 湖北卫视咪咕,http://j.s.bkpcp.top/jj/hubws
 海南卫视咪咕,http://j.s.bkpcp.top/jj/hinws 
 陕西卫视咪咕,http://j.s.bkpcp.top/jj/sxws 
 兵团卫视咪咕,http://j.s.bkpcp.top/jj/btws 
 黑龙江视咪咕,http://j.s.bkpcp.top/jj/hljws 
 CCTV-01咪咕,http://t.061899.xyz/tl/tl.php?id=cctv1 
 CCTV-02咪咕,http://t.061899.xyz/tl/tl.php?id=cctv2 
 CCTV-03咪咕,http://t.061899.xyz/tl/tl.php?id=cctv3 
 CCTV-04咪咕,http://t.061899.xyz/tl/tl.php?id=cctv4 
 CCTV-05咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5
 CCTV-5+咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5p 
 CCTV-06咪咕,http://t.061899.xyz/tl/tl.php?id=cctv6 
 CCTV-07咪咕,http://t.061899.xyz/tl/tl.php?id=cctv7 
 CCTV-08咪咕,http://t.061899.xyz/tl/tl.php?id=cctv8 
 CCTV-09咪咕,http://t.061899.xyz/tl/tl.php?id=cctv9 
 CCTV-10咪咕,http://t.061899.xyz/tl/tl.php?id=cctv10
 CCTV-11咪咕,http://t.061899.xyz/tl/tl.php?id=cctv11
 CCTV-12咪咕,http://t.061899.xyz/tl/tl.php?id=cctv12
 CCTV-13咪咕,http://t.061899.xyz/tl/tl.php?id=cctv13 
 CCTV-14咪咕,http://t.061899.xyz/tl/tl.php?id=cctv14 
 CCTV-15咪咕,http://t.061899.xyz/tl/tl.php?id=cctv15
 CCTV-16咪咕,http://t.061899.xyz/tl/tl.php?id=cctv16 
 CCTV-17咪咕,http://t.061899.xyz/tl/tl.php?id=cctv17 
 北京卫视咪咕,http://t.061899.xyz/tl/tl.php?id=bjws 
 东方卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dfws
 浙江卫视咪咕,http://t.061899.xyz/tl/tl.php?id=zjws 
 江苏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jsws 
 湖南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hunws
 广东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gdws 
 深圳卫视咪咕,http://t.061899.xyz/tl/tl.php?id=szws 
 天津卫视咪咕,http://t.061899.xyz/tl/tl.php?id=tjws 
 安徽卫视咪咕,http://t.061899.xyz/tl/tl.php?id=ahws 
 山东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sdws 
 山西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxiws 
 辽宁卫视咪咕,http://t.061899.xyz/tl/tl.php?id=lnws 
 河北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hbws 
 河南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hnws 
 江西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jxws 
 四川卫视咪咕,http://t.061899.xyz/tl/tl.php?id=scws 
 重庆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=cqws  
 贵州卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gzws 
 湖北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hubws 
 广西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gxws 
 东南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dnws 
 海南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hinws 
